@timestamp,system.load.1,system.load.15,system.load.5,system.load.cores,system.load.norm.1,system.load.norm.15,system.load.norm.5
"July 14th 2018, 18:57:58.876",4.22,2.15,2.99,4,1.055,0.538,0.748
"July 14th 2018, 18:57:48.876",4.62,2.15,3.03,4,1.155,0.538,0.758
"July 14th 2018, 18:57:40.771",5.46,2.17,3.13,4,1.365,0.543,0.783
"July 14th 2018, 18:57:38.876",5.46,2.17,3.13,4,1.365,0.543,0.783
"July 14th 2018, 18:57:28.876",6.17,2.18,3.19,4,1.543,0.545,0.798
"July 14th 2018, 18:57:18.876",7.29,2.2,3.3,4,1.823,0.55,0.825
"July 14th 2018, 18:57:08.876",8.24,2.21,3.34,4,2.06,0.553,0.835
"July 14th 2018, 18:56:58.876",9.74,2.23,3.45,4,2.435,0.558,0.863
"July 14th 2018, 18:56:48.876",5.74,1.92,2.51,4,1.435,0.48,0.628
"July 14th 2018, 18:56:40.771",4.05,1.78,2.1,4,1.013,0.445,0.525
"July 14th 2018, 18:56:38.876",4.05,1.78,2.1,4,1.013,0.445,0.525
"July 14th 2018, 18:56:28.876",2.91,1.69,1.81,4,0.728,0.423,0.453
"July 14th 2018, 18:56:18.876",3.45,1.7,1.87,4,0.863,0.425,0.468
"July 14th 2018, 18:56:08.876",3.46,1.69,1.82,4,0.865,0.423,0.455
"July 14th 2018, 18:55:58.876",2.09,1.58,1.49,4,0.523,0.395,0.373
"July 14th 2018, 18:55:48.876",0.39,1.48,1.17,4,0.098,0.37,0.293
"July 14th 2018, 18:55:40.771",0.46,1.49,1.21,4,0.115,0.373,0.303
"July 14th 2018, 18:55:38.876",0.46,1.49,1.21,4,0.115,0.373,0.303
"July 14th 2018, 18:55:28.876",0.45,1.51,1.23,4,0.113,0.378,0.308
"July 14th 2018, 18:55:18.876",0.43,1.52,1.26,4,0.108,0.38,0.315
"July 14th 2018, 18:55:08.876",0.42,1.53,1.28,4,0.105,0.383,0.32
"July 14th 2018, 18:54:58.876",0.4,1.54,1.31,4,0.1,0.385,0.328
"July 14th 2018, 18:54:48.876",0.47,1.56,1.35,4,0.118,0.39,0.338
"July 14th 2018, 18:54:40.771",0.47,1.57,1.38,4,0.118,0.393,0.345
"July 14th 2018, 18:54:38.876",0.47,1.57,1.38,4,0.118,0.393,0.345
"July 14th 2018, 18:54:28.876",0.56,1.59,1.43,4,0.14,0.398,0.358
"July 14th 2018, 18:54:18.876",0.66,1.6,1.48,4,0.165,0.4,0.37
"July 14th 2018, 18:54:08.876",0.6,1.61,1.5,4,0.15,0.403,0.375
"July 14th 2018, 18:53:58.876",0.72,1.63,1.55,4,0.18,0.408,0.388
"July 14th 2018, 18:53:48.876",0.66,1.63,1.57,4,0.165,0.408,0.393
"July 14th 2018, 18:53:40.771",0.78,1.65,1.62,4,0.195,0.413,0.405
"July 14th 2018, 18:53:38.876",0.78,1.65,1.62,4,0.195,0.413,0.405
"July 14th 2018, 18:53:28.876",0.92,1.67,1.68,4,0.23,0.418,0.42
"July 14th 2018, 18:53:18.876",1.08,1.69,1.74,4,0.27,0.423,0.435
"July 14th 2018, 18:53:08.876",1.19,1.7,1.78,4,0.298,0.425,0.445
"July 14th 2018, 18:52:58.876",1.4,1.72,1.84,4,0.35,0.43,0.46
"July 14th 2018, 18:52:48.876",1.39,1.72,1.85,4,0.348,0.43,0.463
"July 14th 2018, 18:52:40.771",1.64,1.74,1.91,4,0.41,0.435,0.478
"July 14th 2018, 18:52:38.876",1.64,1.74,1.91,4,0.41,0.435,0.478
"July 14th 2018, 18:52:28.876",1.94,1.76,1.98,4,0.485,0.44,0.495
"July 14th 2018, 18:52:18.876",2.29,1.78,2.05,4,0.573,0.445,0.513
"July 14th 2018, 18:52:08.876",2.62,1.8,2.1,4,0.655,0.45,0.525
"July 14th 2018, 18:51:58.876",3.1,1.82,2.17,4,0.775,0.455,0.543
"July 14th 2018, 18:51:48.876",3.66,1.84,2.25,4,0.915,0.46,0.563
"July 14th 2018, 18:51:40.771",0.5,1.62,1.58,4,0.125,0.405,0.395
"July 14th 2018, 18:51:38.876",0.5,1.62,1.58,4,0.125,0.405,0.395
"July 14th 2018, 18:51:28.876",0.5,1.63,1.62,4,0.125,0.408,0.405
"July 14th 2018, 18:51:18.876",0.59,1.65,1.68,4,0.148,0.413,0.42
"July 14th 2018, 18:51:08.876",0.62,1.66,1.72,4,0.155,0.415,0.43
"July 14th 2018, 18:50:58.876",0.64,1.68,1.76,4,0.16,0.42,0.44
"July 14th 2018, 18:50:48.876",0.66,1.69,1.8,4,0.165,0.423,0.45
"July 14th 2018, 18:50:40.771",0.78,1.71,1.86,4,0.195,0.428,0.465
"July 14th 2018, 18:50:38.876",0.78,1.71,1.86,4,0.195,0.428,0.465
"July 14th 2018, 18:50:28.876",0.93,1.73,1.93,4,0.233,0.433,0.483
"July 14th 2018, 18:50:18.876",1.09,1.75,1.99,4,0.273,0.438,0.498
"July 14th 2018, 18:50:08.876",1.29,1.77,2.06,4,0.323,0.443,0.515
"July 14th 2018, 18:49:58.876",0.83,1.74,2,4,0.208,0.435,0.5
"July 14th 2018, 18:49:48.876",0.9,1.76,2.05,4,0.225,0.44,0.513
"July 14th 2018, 18:49:40.771",0.97,1.77,2.1,4,0.243,0.443,0.525
"July 14th 2018, 18:49:38.876",0.97,1.77,2.1,4,0.243,0.443,0.525
"July 14th 2018, 18:49:28.876",1.06,1.78,2.16,4,0.265,0.445,0.54
"July 14th 2018, 18:49:18.876",1.17,1.8,2.21,4,0.293,0.45,0.553
"July 14th 2018, 18:49:08.876",1.1,1.8,2.24,4,0.275,0.45,0.56
"July 14th 2018, 18:48:58.876",1.12,1.81,2.28,4,0.28,0.453,0.57
"July 14th 2018, 18:48:48.876",1.14,1.82,2.33,4,0.285,0.455,0.583
"July 14th 2018, 18:48:40.771",1.35,1.84,2.4,4,0.338,0.46,0.6
"July 14th 2018, 18:48:38.876",1.35,1.84,2.4,4,0.338,0.46,0.6
"July 14th 2018, 18:48:28.876",1.59,1.86,2.49,4,0.398,0.465,0.623
"July 14th 2018, 18:48:18.876",1.88,1.88,2.57,4,0.47,0.47,0.643
"July 14th 2018, 18:48:08.876",2.22,1.9,2.66,4,0.555,0.475,0.665
"July 14th 2018, 18:47:58.876",2.63,1.92,2.75,4,0.658,0.48,0.688
"July 14th 2018, 18:47:48.876",3.11,1.94,2.85,4,0.778,0.485,0.713
"July 14th 2018, 18:47:40.771",3.2,1.94,2.86,4,0.8,0.485,0.715
"July 14th 2018, 18:47:38.876",3.2,1.94,2.86,4,0.8,0.485,0.715
"July 14th 2018, 18:47:28.876",3.78,1.96,2.95,4,0.945,0.49,0.738
"July 14th 2018, 18:47:18.876",4.47,1.98,3.06,4,1.118,0.495,0.765
"July 14th 2018, 18:47:08.876",4.93,1.98,3.09,4,1.233,0.495,0.773
"July 14th 2018, 18:46:58.876",5.83,2,3.2,4,1.458,0.5,0.8
"July 14th 2018, 18:46:48.876",6.89,2.02,3.31,4,1.723,0.505,0.828
"July 14th 2018, 18:46:40.771",8.14,2.05,3.42,4,2.035,0.513,0.855
"July 14th 2018, 18:46:38.876",8.14,2.05,3.42,4,2.035,0.513,0.855
"July 14th 2018, 18:46:28.876",7.14,1.92,3.08,4,1.785,0.48,0.77
"July 14th 2018, 18:46:18.876",4.27,1.69,2.4,4,1.068,0.423,0.6
"July 14th 2018, 18:46:08.876",1.55,1.51,1.83,4,0.388,0.378,0.458
"July 14th 2018, 18:45:58.876",0.8,1.46,1.7,4,0.2,0.365,0.425
"July 14th 2018, 18:45:48.877",0.94,1.48,1.76,4,0.235,0.37,0.44
"July 14th 2018, 18:45:40.771",1.11,1.5,1.82,4,0.278,0.375,0.455
"July 14th 2018, 18:45:38.876",1.11,1.5,1.82,4,0.278,0.375,0.455
"July 14th 2018, 18:45:28.876",1.22,1.51,1.87,4,0.305,0.378,0.468
"July 14th 2018, 18:45:18.876",1.44,1.52,1.93,4,0.36,0.38,0.483
"July 14th 2018, 18:45:08.876",1.7,1.54,2,4,0.425,0.385,0.5
"July 14th 2018, 18:44:58.876",2.01,1.56,2.07,4,0.503,0.39,0.518
"July 14th 2018, 18:44:48.876",1.65,1.53,2,4,0.413,0.383,0.5
"July 14th 2018, 18:44:40.771",1.86,1.54,2.05,4,0.465,0.385,0.513
